date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-,GSPCClose-,SOXClose-,IXICOpen-,GSPCOpen-,SOXOpen-
2012-05-07,0000,-0,-0.0116000,-0.0035053,0.0010112,0.0004801,0.0003505,-0.0025698,-0.0003572,0.0002702,-0.0062695,
2012-05-08,0000,-0,-0.0008276,-0.0012868,-0.0093637,-0.0038998,-0.0042971,-0.0064915,-0.0092535,-0.0043721,-0.0140015,
2012-05-09,0000,-0,-0.0008806,0.0006507,0.0011090,-0.0039391,-0.0067475,-0.0030777,0.0128126,-0.0063636,0.0173251,
2012-05-10,0000,-0,-0.0111869,-0.0096185,-0.0111655,-0.0003647,0.0025111,-0.0035993,-0.0105708,0.0025992,-0.0092146,
2012-05-11,0000,-0,-0.0083439,-0.0017229,-0.0032790,0.0000614,-0.0033989,0.0072478,-0.0039790,-0.0045712,-0.0020975,
2012-05-14,0000,0,0.0065029,0.0090459,0.0024961,-0.0107628,-0.0112377,-0.0109913,-0.0018882,-0.0101393,-0.0018194,
2012-05-15,0000,-0,-0.0098995,-0.0196473,-0.0222639,-0.0030479,-0.0057791,-0.0104067,0.0008159,-0.0056959,-0.0095460,
2012-05-16,0000,-0,-0.0071923,0.0071186,0.0166106,-0.0068614,-0.0044233,-0.0170344,-0.0104219,-0.0044987,-0.0159001,
2012-05-17,0000,-0,-0.0121900,-0.0141305,-0.0287477,-0.0214487,-0.0152813,-0.0225333,-0.0214182,-0.0151488,-0.0202714,
2012-05-18,0000,0,0.0128218,0.0037999,0.0057062,-0.0125594,-0.0074428,-0.0191231,-0.0114571,-0.0071929,-0.0227341,
2012-05-21,0000,-0,-0.0061495,0.0023272,0.0113624,0.0240305,0.0157828,0.0250635,0.0249906,0.0154701,0.0233548,
2012-05-22,0000,-0,-0.0080858,-0.0092127,-0.0177874,-0.0028636,0.0004861,-0.0077363,-0.0076620,-0.0000532,-0.0153650,
2012-05-23,0000,-0,-0.0055380,-0.0043299,-0.0032085,0.0038735,0.0016909,0.0036258,0.0085348,0.0020474,0.0121692,
2012-05-24,0000,-0,-0.0069020,-0.0063210,-0.0075315,-0.0037825,0.0013781,-0.0143297,-0.0059196,0.0015824,-0.0140841,
2012-05-30,0000,0,0.0039896,0.0159680,0.0054372,-0.0118526,-0.0145433,-0.0200430,-0.0034891,-0.0138300,-0.0150317,
2012-05-31,0000,-0,-0.0443831,-0.0151419,-0.0274989,-0.0035440,-0.0022819,-0.0103972,-0.0096935,-0.0024583,-0.0275767,
2012-06-01,0000,0,0.0116462,-0.0018086,-0.0306658,-0.0290666,-0.0252652,-0.0430388,-0.0227543,-0.0247049,-0.0216526,
2012-06-04,0000,0,0.0070191,0.0017042,0.0151119,0.0045398,0.0001095,-0.0013610,0.0006329,-0.0003678,-0.0045088,
2012-06-05,0000,0,0.0134375,0.0025836,0.0078938,0.0065152,0.0056943,0.0216644,0.0167654,0.0060594,0.0295024,
2012-06-06,0000,-0,-0.0142560,-0.0075519,0.0034123,0.0234153,0.0225301,0.0323966,0.0263993,0.0232040,0.0342335,
2012-06-07,0000,0,0.0068077,-0.0048374,-0.0115234,-0.0048392,-0.0001065,-0.0138787,-0.0170797,-0.0008821,-0.0271362,
2012-06-08,0000,-0,-0.0064351,0.0054085,0.0169348,0.0095857,0.0080488,0.0141121,0.0203539,0.0080937,0.0282015,
2012-06-11,0000,0,0.0093986,0.0050395,-0.0068085,-0.0173291,-0.0127814,-0.0192513,-0.0236697,-0.0124637,-0.0254645,
2012-06-12,0000,-0,-0.0008934,-0.0020271,0.0023629,0.0117268,0.0115166,0.0215390,0.0078503,0.0110421,0.0163246,
2012-06-13,0000,-0,-0.0004032,-0.0030756,-0.0019406,-0.0086780,-0.0070729,-0.0106817,-0.0062007,-0.0069512,-0.0105198,
2012-06-14,0000,0,0.0233775,0.0086405,0.0112817,0.0062475,0.0106990,-0.0017337,0.0066106,0.0107660,-0.0013540,
