date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-IXICOpen,GSPCClose-GSPCOpen,SOXClose-SOXOpen
2004-03-22,0000,0,0.0370411,0.0225567,-0.0302986,-0.0100110,-0.0131276,-0.0096971,
2004-03-23,0000,-0,-0.0049592,-0.0083978,0.0065454,-0.0112683,-0.0013255,-0.0031478,
2004-03-24,0000,-0,-0.0012285,-0.0126837,-0.0092305,0.0007541,-0.0024007,0.0228137,
2004-03-25,0000,0,0.0191672,-0.0154176,-0.0039314,0.0223417,0.0161018,0.0353596,
2004-03-26,0000,0,0.0221887,0.0193463,0.0527470,-0.0017857,-0.0010198,-0.0126239,
2004-03-29,0000,0,0.0094616,0.0002741,0.0031718,0.0086020,0.0128378,0.0170642,
2004-03-30,0000,-0,-0.0077500,-0.0050229,0.0042133,0.0074776,0.0040195,-0.0011088,
2004-03-31,0000,0,0.0094750,0.0029049,0.0001993,-0.0034450,-0.0007015,0.0001848,
2004-04-01,0000,0,0.0091245,-0.0032419,0.0033687,0.0092109,0.0052642,0.0165550,
2004-04-02,0000,0,0.0132030,0.0083050,0.0205290,0.0054055,0.0084427,0.0360799,
2004-04-05,0000,-0,-0.0110607,-0.0121105,-0.0071117,0.0111249,0.0076136,0.0093310,
2004-04-06,0000,0,0.0036450,0.0006484,0.0016850,-0.0020535,-0.0020990,-0.0209223,
2004-04-07,0000,-0,-0.0024691,0.0009186,0.0039144,-0.0026192,-0.0066899,-0.0016758,
2004-04-08,0000,0,0.0076179,-0.0045239,-0.0079301,-0.0105705,-0.0010620,0.0089101,
2004-04-12,0000,-0,-0.0076501,-0.0044007,0.0024359,0.0037957,0.0051345,0.0067153,
2004-04-13,0000,0,0.0192233,0.0156624,0.0124779,-0.0211174,-0.0139538,-0.0177580,
2004-04-14,0000,-0,-0.0229427,-0.0249926,-0.0212846,0.0032052,-0.0011257,-0.0062212,
2004-04-15,0000,0,0.0149085,0.0099601,0.0119401,-0.0121618,0.0005935,-0.0293805,
2004-04-16,0000,-0,-0.0021777,-0.0108081,-0.0057559,-0.0033521,0.0050854,-0.0179531,
2004-04-19,0000,-0,-0.0052648,-0.0055280,0.0030574,0.0124033,0.0011093,0.0141470,
2004-04-20,0000,0,0.0096274,0.0012481,0.0015095,-0.0222326,-0.0158029,-0.0368959,
2004-04-21,0000,-0,-0.0112658,-0.0201691,-0.0116101,0.0042142,0.0052843,0.0189239,
2004-04-22,0000,-0,-0.0056953,-0.0064107,0.0023725,0.0198041,0.0138956,0.0035798,
2004-04-23,0000,-0,-0.0052668,-0.0062885,-0.0055732,0.0018783,0.0005874,0.0153695,
